id,__typename,createdAt,description,equipmentsFacilityId,measurementVariables,name,partitionKey,updatedAt,zone
ec030c02-b154-4a88-aee9-dc29ecf1d59c,Equipments,2023-12-22T00:11:51.490Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly3tit01""}]",Yogurtera 3,yogurtera-3,2023-12-22T00:12:01.066Z,LIQUIDOS
4616a8ff-0ec7-4dc0-9404-c9b731c9ff17,Equipments,2023-12-24T21:57:52.690Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as10tit01""},{""S"":""as10lit01""}]",Silo 10,silo-10,2023-12-24T21:57:52.690Z,RECIBO_DE_LECHE
6a0830a0-8f3e-4cf4-bdc2-5f814f8cdec8,Equipments,2023-12-22T01:17:45.463Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as4tit01""},{""S"":""as4lit01""}]",Silo 4,silo-4,2023-12-22T01:17:45.463Z,RECIBO_DE_LECHE
75d2badc-3aa4-45e3-929d-78250778682a,Equipments,2023-12-24T21:57:07.324Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as9tit01""},{""S"":""as9lit01""}]","""Silo 9 """,silo-9,2023-12-24T21:57:07.324Z,RECIBO_DE_LECHE
977dad81-7f5a-42cc-82a3-cd5bba64acad,Equipments,2023-12-24T22:52:30.074Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 1MVA,pm-1000kva,2023-12-24T22:54:15.090Z,SERVICIOS_INDUSTRIALES
7543b260-04c7-46be-9c3f-df79223b4221,Equipments,2023-12-22T00:50:00.890Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly4tit01""}]",Yogurtera 4,yogurtera-4,2023-12-22T00:50:00.890Z,LIQUIDOS
15a32058-bbbb-483f-a1cf-c7ddf16f27c6,Equipments,2023-12-22T00:11:18.306Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly2tit01""}]",Yogurtera 2,yogurtera-2,2023-12-22T00:11:18.306Z,LIQUIDOS
3a69cb94-39eb-4120-b915-2f8b5435bbaf,Equipments,2024-01-06T17:00:44.651Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""h00c01bt335""},{""S"":""h00e21bf100""},{""S"":""h00e51bt125""},{""S"":""h00h51bt080""},{""S"":""h00h51bt085""},{""S"":""h00h61bp711""},{""S"":""h00w01bf050""},{""S"":""seq_step_no""}]",Esterilizador 3,esterilizador-3,2024-01-06T17:00:44.651Z,UHT
a6d2b75b-c1d7-454d-a9f6-757725dba90a,Equipments,2023-12-24T22:52:29.842Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 2MVA,pm-2000kva,2023-12-24T22:55:17.908Z,SERVICIOS_INDUSTRIALES
1debefb3-220d-4c6b-82d5-a75f820c9d5e,Equipments,2023-12-22T01:12:46.270Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as2tit01""},{""S"":""as2lit01""}]",Silo 2,silo-2,2023-12-22T01:12:46.270Z,RECIBO_DE_LECHE
2e343f9f-af2d-463e-aec2-bbc3fb9eaffc,Equipments,2023-12-22T00:56:27.842Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly9tit01""},{""S"":""ly9wt01""}]",Yogurtera 9,yogurtera-9,2023-12-22T00:56:27.842Z,LIQUIDOS
65fde679-7550-4065-832b-686157dfe7d3,Equipments,2023-12-22T00:57:24.271Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly10tit01""},{""S"":""ly10wt01""}]",Yogurtera 10,yogurtera-10,2023-12-22T00:57:24.271Z,LIQUIDOS
236930e8-268d-4a0f-b07f-16640f6dc02c,Equipments,2023-12-24T22:20:50.407Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 112KVA,pm-112kva,2023-12-24T22:21:51.317Z,SERVICIOS_INDUSTRIALES
2817c417-71fb-40b4-8f50-568b56a69bc7,Equipments,2023-12-22T00:50:36.127Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly5tit01""}]",Yogurtera 5,yogurtera-5,2023-12-22T00:50:36.127Z,LIQUIDOS
a6c7279d-3248-41a7-8e33-e34a69f71ee7,Equipments,2023-12-22T00:10:41.055Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly1tit01""}]",Yogurtera 1,yogurtera-1,2023-12-22T00:10:41.055Z,LIQUIDOS
45e98124-6e58-49d6-83b9-5499f2aba78c,Equipments,2024-01-06T17:05:14.638Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""cream_step_no""},{""S"":""entregado_cuajada_total""},{""S"":""entregado_leche_total""},{""S"":""entregado_quesito_total""},{""S"":""entregado_termizada_total""},{""S"":""entregado_yogurt_total""},{""S"":""lp3fit01""},{""S"":""lp3fit041""},{""S"":""lp3le065""},{""S"":""lp3te040""},{""S"":""lp3te043""},{""S"":""lp3te044""},{""S"":""lp3te045""},{""S"":""lp3te052""},{""S"":""lp3te064""},{""S"":""lp3te071""},{""S"":""main_step_no""},{""S"":""plan_cuajada""},{""S"":""plan_leche""},{""S"":""plan_quesito""},{""S"":""plan_termizada""},{""S"":""plan_yogurt""},{""S"":""recibido_fit01_cuajada""},{""S"":""recibido_fit01_leche""},{""S"":""recibido_fit01_quesito""},{""S"":""recibido_fit01_termizada""},{""S"":""recibido_fit01_yogurt""}]",Pasteurizador 3,pasteurizador-3,2024-01-06T17:05:14.638Z,LIQUIDOS
640adc66-fa23-4c8b-9540-cb5b3b6b2a58,Equipments,2023-12-24T22:01:23.865Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as12tit01""},{""S"":""as12lit01""}]",Silo 12,silo-12,2023-12-24T22:01:23.865Z,RECIBO_DE_LECHE
fc6bced8-462b-4687-9d4b-45e6ecb4d1fe,Equipments,2023-12-22T01:23:43.840Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as6tit01""},{""S"":""as6lit01""}]",Silo 6,silo-6,2023-12-22T01:23:43.840Z,RECIBO_DE_LECHE
04be2249-b25a-4f25-a6de-4d227f67b9c2,Equipments,2023-12-22T00:55:42.547Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly8tit01""},{""S"":""ly8wt01""}]",Yogurtera 8,yogurtera-8,2023-12-22T00:55:42.547Z,LIQUIDOS
3d00d365-cfc3-43e0-b80b-d2daf9ecda23,Equipments,2023-12-24T22:12:10.071Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""batch""},{""S"":""lp1fit01""},{""S"":""lp1fit02""},{""S"":""lp1tit01""},{""S"":""lp1tit02""},{""S"":""lp1tit03""},{""S"":""pasos_lavado""},{""S"":""pasos_pasterizacion""},{""S"":""pasos_proceso""},{""S"":""tiempo_restante_lavado""},{""S"":""total""}]",Pasteurizador 1,pasteurizador-1,2023-12-24T22:12:10.071Z,LIQUIDOS
3d9e0a42-fafb-433c-9735-96c070ad50d1,Equipments,2023-12-24T22:20:50.230Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 300KVA,pm-300kva,2023-12-24T22:22:21.367Z,SERVICIOS_INDUSTRIALES
19e16496-a0df-4a83-bf2f-5066198343d2,Equipments,2023-12-22T01:20:03.685Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as5tit01""},{""S"":""as5lit01""}]",Silo 5,silo-5,2023-12-22T01:20:03.685Z,RECIBO_DE_LECHE
92090db4-7156-4afc-ba82-2b11e2670f66,Equipments,2023-12-22T01:16:45.293Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as3tit01""},{""S"":""as3lit01""}]",Silo 3,silo-3,2023-12-22T01:16:45.293Z,RECIBO_DE_LECHE
204926a4-20f1-4764-9910-4472e3913329,Equipments,2023-12-24T22:20:50.500Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 500KVA,pm-500kva,2023-12-24T22:54:34.928Z,SERVICIOS_INDUSTRIALES
6001ed05-c249-4586-840b-f1944ce99e1f,Equipments,2023-12-24T22:02:35.229Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as13tit01""},{""S"":""as13lit01""}]",Silo 13,silo-13,2023-12-24T22:02:35.229Z,RECIBO_DE_LECHE
581c71d2-356b-4cb2-9006-9ff616f09301,Equipments,2024-03-02T17:20:34.426Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""combustion_air_temp""},{""S"":""efficiency""},{""S"":""firing_rate""},{""S"":""oxigeno_actual""},{""S"":""setpoint""},{""S"":""stack_temp""},{""S"":""steam_pres""},{""S"":""steam_total""},{""S"":""vfd_frequency""},{""S"":""water_outdoor_ret_temp""}]",Caldera 1,caldera-1,2024-03-02T17:20:34.426Z,SERVICIOS_INDUSTRIALES
f5a1a5dc-2785-41b9-9acf-24e2c7ea4644,Equipments,2023-12-24T22:03:54.725Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as14tit01""},{""S"":""as14lit01""}]",Silo 14,silo-14,2023-12-24T22:03:54.725Z,RECIBO_DE_LECHE
705c29c8-32a7-4bbb-86c8-48cde1eefda1,Equipments,2023-12-24T21:55:19.108Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as7tit01""},{""S"":""as7lit01""}]",Silo 7,silo-7,2023-12-24T21:55:19.108Z,RECIBO_DE_LECHE
7a41d9eb-289f-4132-b2f1-55614ce9a71b,Equipments,2023-12-24T21:59:01.755Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as11tit01""},{""S"":""as11lit01""}]",Silo 11,silo-11,2023-12-24T21:59:01.755Z,RECIBO_DE_LECHE
9ec78c8f-a987-44d4-b3cc-5778e0651ec9,Equipments,2023-12-22T00:51:51.393Z,,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly7tit01""}]",Yogurtera 7,yogurtera-7,2023-12-22T00:52:06.401Z,LIQUIDOS
be6a3033-b429-413e-8896-27059a83813f,Equipments,2023-12-22T00:58:04.731Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly11tit01""},{""S"":""ly11wt01""}]",Yogurtera 11,yogurtera-11,2023-12-22T00:58:04.731Z,LIQUIDOS
6b8abfb3-f76c-49a2-b7c8-b79a7f0aa494,Equipments,2023-12-24T22:52:29.745Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""corriente_a""},{""S"":""corriente_b""},{""S"":""corriente_c""},{""S"":""corriente_media""},{""S"":""distorsion_media_total""},{""S"":""energia_activa""},{""S"":""energia_aparente""},{""S"":""energia_reactiva""},{""S"":""factor_potencia""},{""S"":""potencia_activa""},{""S"":""potencia_aparente""},{""S"":""potencia_reactiva""},{""S"":""tension_media""},{""S"":""voltaje_ab""},{""S"":""voltaje_bc""},{""S"":""voltaje_ca""}]",Power Meter 538KWP,pm-538kwp,2023-12-24T22:52:29.745Z,SERVICIOS_INDUSTRIALES
d2d7e641-313d-4777-aade-256d6c53f553,Equipments,2023-12-22T01:04:09.969Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as1tit01""},{""S"":""as1lit01""}]",Silo 1,silo-1,2023-12-22T01:04:09.969Z,RECIBO_DE_LECHE
6a7bdce7-0aa0-4d25-96d1-d5f0a55a103f,Equipments,2023-12-22T00:51:20.756Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""ly6tit01""}]",Yogurtera 6,yogurtera-6,2023-12-22T00:51:20.756Z,LIQUIDOS
f742c04a-53ca-4cad-9385-0d8012d07923,Equipments,2023-12-24T21:56:13.494Z,null,891c5676-780f-42ad-b6b4-88f1dcc4ea29,"[{""S"":""as8tit01""},{""S"":""as8lit01""}]",Silo 8,silo-8,2023-12-24T21:56:13.494Z,RECIBO_DE_LECHE
